region,gender,year,method,count
충북,남,2019.0,whole 320mL,8204.0
충북,여,2019.0,whole 320mL,18465.0
대전·세종·충남,남,2019.0,whole 320mL,16689.0
대전·세종·충남,여,2019.0,whole 320mL,56998.0
전북,남,2019.0,whole 320mL,10645.0
전북,여,2019.0,whole 320mL,22132.0
광주·전남,남,2019.0,whole 320mL,16780.0
광주·전남,여,2019.0,whole 320mL,49623.0
경남,남,2019.0,whole 320mL,15900.0
경남,여,2019.0,whole 320mL,27690.0
제주,남,2019.0,whole 320mL,3328.0
제주,여,2019.0,whole 320mL,9618.0
대한적십자사 외,남,2019.0,whole 320mL,14278.0
대한적십자사 외,여,2019.0,whole 320mL,39931.0
서울중앙,남,2020.0,whole 320mL,7510.0
서울중앙,여,2020.0,whole 320mL,49365.0
서울서부,남,2020.0,whole 320mL,0.0
서울서부,여,2020.0,whole 320mL,0.0
서울남부,남,2020.0,whole 320mL,6236.0
서울남부,여,2020.0,whole 320mL,35629.0
서울동부,남,2020.0,whole 320mL,9604.0
서울동부,여,2020.0,whole 320mL,47072.0
부산,남,2020.0,whole 320mL,6268.0
부산,여,2020.0,whole 320mL,44470.0
대구·경북,남,2020.0,whole 320mL,10804.0
대구·경북,여,2020.0,whole 320mL,46046.0
인천,남,2020.0,whole 320mL,5302.0
인천,여,2020.0,whole 320mL,36965.0
울산,남,2020.0,whole 320mL,6385.0
울산,여,2020.0,whole 320mL,16337.0
경기,남,2020.0,whole 320mL,12486.0
경기,여,2020.0,whole 320mL,48039.0
강원,남,2020.0,whole 320mL,4812.0
강원,여,2020.0,whole 320mL,17401.0
충북,남,2020.0,whole 320mL,4867.0
충북,여,2020.0,whole 320mL,15608.0
대전·세종·충남,남,2020.0,whole 320mL,9662.0
대전·세종·충남,여,2020.0,whole 320mL,54756.0
전북,남,2020.0,whole 320mL,7763.0
전북,여,2020.0,whole 320mL,21869.0
광주·전남,남,2020.0,whole 320mL,9350.0
광주·전남,여,2020.0,whole 320mL,42139.0
경남,남,2020.0,whole 320mL,9793.0
경남,여,2020.0,whole 320mL,26535.0
제주,남,2020.0,whole 320mL,2609.0
제주,여,2020.0,whole 320mL,10435.0
대한적십자사 외,남,2020.0,whole 320mL,11539.0
대한적십자사 외,여,2020.0,whole 320mL,44836.0
서울중앙,남,2021.0,whole 320mL,7527.0
서울중앙,여,2021.0,whole 320mL,48011.0
서울서부,남,2021.0,whole 320mL,0.0
서울서부,여,2021.0,whole 320mL,0.0
서울남부,남,2021.0,whole 320mL,5988.0
서울남부,여,2021.0,whole 320mL,34808.0
서울동부,남,2021.0,whole 320mL,9370.0
서울동부,여,2021.0,whole 320mL,50552.0
부산,남,2021.0,whole 320mL,6135.0
부산,여,2021.0,whole 320mL,46314.0
대구·경북,남,2021.0,whole 320mL,12780.0
대구·경북,여,2021.0,whole 320mL,56010.0
인천,남,2021.0,whole 320mL,5717.0
인천,여,2021.0,whole 320mL,39137.0
울산,남,2021.0,whole 320mL,7697.0
울산,여,2021.0,whole 320mL,17461.0
경기,남,2021.0,whole 320mL,12626.0
경기,여,2021.0,whole 320mL,50727.0
강원,남,2021.0,whole 320mL,5176.0
강원,여,2021.0,whole 320mL,19143.0
충북,남,2021.0,whole 320mL,5953.0
충북,여,2021.0,whole 320mL,17572.0
대전·세종·충남,남,2021.0,whole 320mL,11285.0
대전·세종·충남,여,2021.0,whole 320mL,55312.0
전북,남,2021.0,whole 320mL,8466.0
전북,여,2021.0,whole 320mL,22994.0
광주·전남,남,2021.0,whole 320mL,10373.0
광주·전남,여,2021.0,whole 320mL,44743.0
경남,남,2021.0,whole 320mL,9089.0
경남,여,2021.0,whole 320mL,25947.0
제주,남,2021.0,whole 320mL,2992.0
제주,여,2021.0,whole 320mL,10858.0
대한적십자사 외,남,2021.0,whole 320mL,13025.0
대한적십자사 외,여,2021.0,whole 320mL,47755.0
서울중앙,남,2022.0,whole 320mL,8221.0
서울중앙,여,2022.0,whole 320mL,54647.0
서울서부,남,2022.0,whole 320mL,0.0
서울서부,여,2022.0,whole 320mL,0.0
서울남부,남,2022.0,whole 320mL,7222.0
서울남부,여,2022.0,whole 320mL,39780.0
서울동부,남,2022.0,whole 320mL,10212.0
서울동부,여,2022.0,whole 320mL,58640.0
부산,남,2022.0,whole 320mL,5861.0
부산,여,2022.0,whole 320mL,52633.0
대구·경북,남,2022.0,whole 320mL,12362.0
대구·경북,여,2022.0,whole 320mL,55503.0
인천,남,2022.0,whole 320mL,5161.0
인천,여,2022.0,whole 320mL,42685.0
