region,gender,count,year,age_band
강원,여,470,2008,40대
충북,남,2993,2008,40대
충북,여,391,2008,40대
대전·세종·충남,남,7825,2008,40대
대전·세종·충남,여,1103,2008,40대
전북,남,3984,2008,40대
전북,여,597,2008,40대
광주·전남,남,7371,2008,40대
광주·전남,여,1568,2008,40대
경남,남,4969,2008,40대
경남,여,490,2008,40대
제주,남,1380,2008,40대
제주,여,291,2008,40대
서울중앙,남,2628,2008,50대
서울중앙,여,429,2008,50대
서울서부,남,2222,2008,50대
서울서부,여,343,2008,50대
서울남부,남,2999,2008,50대
서울남부,여,600,2008,50대
서울동부,남,2600,2008,50대
서울동부,여,647,2008,50대
부산,남,2684,2008,50대
부산,여,495,2008,50대
대구·경북,남,2126,2008,50대
대구·경북,여,317,2008,50대
인천,남,1537,2008,50대
인천,여,316,2008,50대
울산,남,1178,2008,50대
울산,여,112,2008,50대
경기,남,2478,2008,50대
경기,여,304,2008,50대
강원,남,868,2008,50대
강원,여,129,2008,50대
충북,남,1070,2008,50대
충북,여,88,2008,50대
대전·세종·충남,남,2253,2008,50대
대전·세종·충남,여,226,2008,50대
전북,남,1001,2008,50대
전북,여,163,2008,50대
광주·전남,남,1889,2008,50대
광주·전남,여,307,2008,50대
경남,남,1415,2008,50대
경남,여,138,2008,50대
제주,남,386,2008,50대
제주,여,33,2008,50대
서울중앙,남,316,2008,60대
서울중앙,여,35,2008,60대
서울서부,남,380,2008,60대
서울서부,여,30,2008,60대
서울남부,남,379,2008,60대
서울남부,여,44,2008,60대
서울동부,남,214,2008,60대
서울동부,여,44,2008,60대
부산,남,227,2008,60대
부산,여,26,2008,60대
대구·경북,남,199,2008,60대
대구·경북,여,25,2008,60대
인천,남,131,2008,60대
인천,여,14,2008,60대
울산,남,59,2008,60대
울산,여,2,2008,60대
경기,남,202,2008,60대
경기,여,32,2008,60대
강원,남,100,2008,60대
강원,여,10,2008,60대
충북,남,81,2008,60대
충북,여,3,2008,60대
대전·세종·충남,남,240,2008,60대
대전·세종·충남,여,23,2008,60대
전북,남,98,2008,60대
전북,여,3,2008,60대
광주·전남,남,159,2008,60대
광주·전남,여,7,2008,60대
경남,남,38,2008,60대
경남,여,1,2008,60대
제주,남,53,2008,60대
제주,여,6,2008,60대
서울중앙,남,35424,2009,10대
서울중앙,여,25729,2009,10대
서울서부,남,35883,2009,10대
서울서부,여,21336,2009,10대
서울남부,남,28994,2009,10대
서울남부,여,19228,2009,10대
