gender,job,region,year,count
여,대학생,대한적십자사 외,2006,2918
여,군인,대한적십자사,2006,1309
여,군인,서울중앙,2006,196
여,군인,서울서부,2006,52
여,군인,서울남부,2006,175
여,군인,서울동부,2006,209
여,군인,부산,2006,24
여,군인,대구·경북,2006,101
여,군인,인천,2006,47
여,군인,울산,2006,5
여,군인,경기,2006,46
여,군인,강원,2006,67
여,군인,충북,2006,48
여,군인,대전·세종·충남,2006,158
여,군인,전북,2006,36
여,군인,광주·전남,2006,75
여,군인,경남,2006,69
여,군인,제주,2006,1
여,군인,대한적십자사 외,2006,10
여,회사원,대한적십자사,2006,61725
여,회사원,서울중앙,2006,8879
여,회사원,서울서부,2006,4157
여,회사원,서울남부,2006,8757
여,회사원,서울동부,2006,5567
여,회사원,부산,2006,6369
여,회사원,대구·경북,2006,5193
여,회사원,인천,2006,3935
여,회사원,울산,2006,2008
여,회사원,경기,2006,4253
여,회사원,강원,2006,645
여,회사원,충북,2006,1377
여,회사원,대전·세종·충남,2006,2594
여,회사원,전북,2006,1329
여,회사원,광주·전남,2006,4376
여,회사원,경남,2006,1487
여,회사원,제주,2006,799
여,회사원,대한적십자사 외,2006,2189
여,공무원,대한적십자사,2006,6642
여,공무원,서울중앙,2006,623
여,공무원,서울서부,2006,234
여,공무원,서울남부,2006,452
여,공무원,서울동부,2006,546
여,공무원,부산,2006,535
여,공무원,대구·경북,2006,594
여,공무원,인천,2006,371
여,공무원,울산,2006,217
여,공무원,경기,2006,406
여,공무원,강원,2006,183
여,공무원,충북,2006,229
여,공무원,대전·세종·충남,2006,328
여,공무원,전북,2006,373
여,공무원,광주·전남,2006,992
여,공무원,경남,2006,292
여,공무원,제주,2006,267
여,공무원,대한적십자사 외,2006,58
여,자영업,대한적십자사,2006,4164
여,자영업,서울중앙,2006,411
여,자영업,서울서부,2006,209
여,자영업,서울남부,2006,511
여,자영업,서울동부,2006,601
여,자영업,부산,2006,428
여,자영업,대구·경북,2006,343
여,자영업,인천,2006,271
여,자영업,울산,2006,83
여,자영업,경기,2006,274
여,자영업,강원,2006,116
여,자영업,충북,2006,93
여,자영업,대전·세종·충남,2006,136
여,자영업,전북,2006,159
여,자영업,광주·전남,2006,342
여,자영업,경남,2006,119
여,자영업,제주,2006,68
여,자영업,대한적십자사 외,2006,98
여,종교직,대한적십자사,2006,757
여,종교직,서울중앙,2006,89
여,종교직,서울서부,2006,33
여,종교직,서울남부,2006,70
여,종교직,서울동부,2006,91
여,종교직,부산,2006,63
여,종교직,대구·경북,2006,48
여,종교직,인천,2006,41
여,종교직,울산,2006,13
여,종교직,경기,2006,31
여,종교직,강원,2006,12
여,종교직,충북,2006,22
여,종교직,대전·세종·충남,2006,48
여,종교직,전북,2006,60
여,종교직,광주·전남,2006,109
여,종교직,경남,2006,9
여,종교직,제주,2006,18
여,종교직,대한적십자사 외,2006,20
여,가사,대한적십자사,2006,20963
여,가사,서울중앙,2006,1318
여,가사,서울서부,2006,1140
여,가사,서울남부,2006,1913
여,가사,서울동부,2006,3368
여,가사,부산,2006,1997
여,가사,대구·경북,2006,1684
여,가사,인천,2006,1620
여,가사,울산,2006,870
여,가사,경기,2006,1680
여,가사,강원,2006,534
여,가사,충북,2006,522
여,가사,대전·세종·충남,2006,764
여,가사,전북,2006,710
여,가사,광주·전남,2006,2075
여,가사,경남,2006,555
여,가사,제주,2006,213
여,가사,대한적십자사 외,2006,765
여,기타,대한적십자사,2006,53082
여,기타,서울중앙,2006,6512
여,기타,서울서부,2006,4068
여,기타,서울남부,2006,5783
여,기타,서울동부,2006,5331
여,기타,부산,2006,6370
여,기타,대구·경북,2006,3832
여,기타,인천,2006,3462
여,기타,울산,2006,1659
여,기타,경기,2006,2807
여,기타,강원,2006,914
여,기타,충북,2006,1528
여,기타,대전·세종·충남,2006,2037
여,기타,전북,2006,2001
여,기타,광주·전남,2006,5125
여,기타,경남,2006,1011
여,기타,제주,2006,642
여,기타,대한적십자사 외,2006,1579
남,고등학생,대한적십자사,2007,297356
남,고등학생,서울중앙,2007,17707
남,고등학생,서울서부,2007,20898
남,고등학생,서울남부,2007,15332
남,고등학생,서울동부,2007,31728
남,고등학생,부산,2007,27491
남,고등학생,대구·경북,2007,26372
남,고등학생,인천,2007,20637
남,고등학생,울산,2007,12483
남,고등학생,경기,2007,24159
남,고등학생,강원,2007,4168
남,고등학생,충북,2007,12319
남,고등학생,대전·세종·충남,2007,24833
남,고등학생,전북,2007,15662
남,고등학생,광주·전남,2007,27822
남,고등학생,경남,2007,10994
남,고등학생,제주,2007,4751
남,고등학생,대한적십자사 외,2007,5042
남,대학생,대한적십자사,2007,371547
남,대학생,서울중앙,2007,31745
남,대학생,서울서부,2007,30578
